accession,species,attC,cassettes,complete,calin
GCF_021768385.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_021768425.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_022812045.1,Vibrio splendidus,0,0,0,0
GCF_022812155.1,Vibrio splendidus,0,0,0,0
GCF_023206395.1,Vibrio sp. ED004,0,0,0,0
GCF_023973125.1,Photobacterium damselae,0,0,0,0
GCF_024346835.1,Vibrio comitans,0,0,0,0
GCF_024346875.1,Vibrio gallicus,0,0,0,0
GCF_024346935.1,Vibrio inusitatus,0,0,0,0
GCF_024346955.1,Vibrio mangrovi,0,0,0,0
GCF_024346975.1,Vibrio neonatus,0,0,0,0
GCF_024347095.1,Vibrio rhizosphaerae,0,0,0,0
GCF_024347115.1,Vibrio ruber,0,0,0,0
GCF_024347335.1,Vibrio celticus,0,0,0,0
GCF_024347455.1,Vibrio echinoideorum,0,0,0,0
GCF_024347555.1,Vibrio lentus,0,0,0,0
GCF_024347675.1,Vibrio ishigakensis,0,0,0,0
GCF_025398175.1,Photobacterium sp. TY1-4,0,0,0,0
GCF_025757485.1,Vibrio natriegens,0,0,0,0
GCF_026001825.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_028201475.1,Vibrio sp. SCSIO 43137,0,0,0,0
GCF_029016285.1,Vibrio sp. DW001,0,0,0,0
GCF_029016485.1,Vibrio sp. JC009,0,0,0,0
GCF_030168795.1,Photobacterium damselae,0,0,0,0
GCF_030168835.1,Photobacterium damselae,0,0,0,0
GCF_030168855.1,Photobacterium damselae,0,0,0,0
GCF_030169005.1,Photobacterium damselae,0,0,0,0
GCF_030169045.1,Photobacterium damselae,0,0,0,0
GCF_030297155.1,Vibrio apostichopi,0,0,0,0
GCF_038086615.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_038086725.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_038086915.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_041504345.1,Vibrio sp. BS-M-Sm-2,0,0,0,0
GCF_046058925.1,Photobacterium piscicola,0,0,0,0
GCF_046250205.1,Vibrio sp. BS-M-Sm-2,0,0,0,0
GCF_047302445.1,Vibrio sp. MA40-2,0,0,0,0
GCF_048537455.1,Photobacterium leiognathi subsp. mandapamensis,0,0,0,0
GCF_048537465.1,Photobacterium leiognathi subsp. mandapamensis,0,0,0,0
GCF_048537515.1,Photobacterium leiognathi subsp. mandapamensis,0,0,0,0
GCF_048835935.1,Photobacterium damselae subsp. piscicida,0,0,0,0
GCF_048844225.1,Vibrio alginolyticus,0,0,0,0
GCF_049563835.1,Photobacterium damselae,0,0,0,0
GCF_050870795.1,Vibrio sinus,0,0,0,0
GCF_051046865.1,Photobacterium leiognathi subsp. mandapamensis,0,0,0,0
GCF_051132505.1,Vibrio fortis,0,0,0,0
GCF_053005025.1,Photobacterium damselae,0,0,0,0
GCF_053850225.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_054486505.1,Photobacterium damselae,0,0,0,0
GCF_054486525.1,Photobacterium damselae,0,0,0,0
GCF_054486545.1,Photobacterium damselae,0,0,0,0
GCF_056675655.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_057922655.1,Photobacterium damselae,0,0,0,0
GCF_057922685.1,Photobacterium damselae,0,0,0,0
GCF_059492265.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_059704325.2,Grimontia sp. THUN1695,0,0,0,0
GCF_059725515.1,Vibrio sp. KUL70,0,0,0,0
GCF_059727865.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_059727875.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_059727885.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_059727895.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_059735745.1,Photobacterium damselae,0,0,0,0
GCF_059739275.1,Vibrio ezurae,0,0,0,0
GCF_059739285.1,Vibrio halioticoli,0,0,0,0
GCF_059740945.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_059784805.1,Photobacterium damselae subsp. damselae,0,0,0,0
GCF_060143805.1,Photobacterium leiognathi subsp. mandapamensis,0,0,0,0
GCF_060433825.1,Vibrio tetraodonis,0,0,0,0
GCF_905175365.1,Vibrio sp. B1FLJ16,0,0,0,0
GCF_949787665.1,Photobacterium phosphoreum,0,0,0,0
