family,n_genomes,n_species,n_proteins
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_403,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_404,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_409,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_416,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_417,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_428,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_429,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_435,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_438,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_459,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_460,2,2,2
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_467,9,5,11
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_468,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_470,2,2,2
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_474,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_475,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_483,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_484,2,2,2
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_485,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_507,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_508,18,6,21
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_518,2,2,2
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_523,2,1,2
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_531,3,3,3
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_537,2,1,2
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_538,1,1,1
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_561,3,3,3
GCF_900185995.1|NZ_LT897798.1|NZ_LT897798.1_562,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_438,166,22,400
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_442,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_448,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_450,2,2,2
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_451,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_452,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_458,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_459,114,27,136
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_461,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_467,1,1,1
GCF_900538065.1|NZ_LS997868.1|NZ_LS997868.1_469,86,19,106
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1259,1,1,1
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1260,1,1,1
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1261,1,1,1
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1262,1,1,1
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1263,1,1,1
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1270,1,1,1
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1271,2,2,2
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1276,1,1,1
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1279,5,2,5
GCF_001758605.1|NZ_CP012950.1|NZ_CP012950.1_1280,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_10,24,9,31
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_14,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_15,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_16,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_46,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_49,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_55,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_56,4,2,4
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_57,11,5,12
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_60,1,1,2
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_64,5,4,5
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_73,26,16,29
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_1143,1,1,1
GCF_001767355.1|NZ_CP016384.1|NZ_CP016384.1_1147,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1770,5,3,5
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1772,17,3,18
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1778,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1779,6,5,7
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1781,5,2,5
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1797,2,1,2
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1802,5,2,5
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1803,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1804,3,2,3
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1808,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1810,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1811,4,3,4
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1814,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1816,4,2,4
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1818,11,2,11
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1820,3,1,3
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1821,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1824,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1830,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1831,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1832,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1836,8,3,8
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1840,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1842,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1843,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1847,2,2,2
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1851,9,4,9
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1861,5,4,5
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1862,7,3,7
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1865,19,10,19
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1868,4,2,4
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1873,4,3,4
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1874,4,3,4
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1876,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1879,3,2,3
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1884,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1885,6,5,6
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1888,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1891,18,7,19
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1896,37,9,43
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1897,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1898,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1899,3,1,3
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1908,10,5,11
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1912,2,1,2
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1913,1,1,1
GCF_001879585.1|NZ_CP013248.1|NZ_CP013248.1_1915,1,1,1
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1114,3,2,3
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1120,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1129,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1147,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1158,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1160,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1165,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1166,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1170,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1184,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1192,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1202,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1205,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1206,2,1,2
GCF_001887055.1|NZ_CP013826.1|NZ_CP013826.1_1209,2,1,2
GCF_001887395.1|NZ_CP013302.1|NZ_CP013302.1_270,26,4,26
GCF_001887395.1|NZ_CP013302.1|NZ_CP013302.1_271,19,3,19
GCF_001887395.1|NZ_CP013302.1|NZ_CP013302.1_278,109,15,142
GCF_001887415.1|NZ_CP013312.1|NZ_CP013312.1_610,8,3,8
GCF_001887415.1|NZ_CP013312.1|NZ_CP013312.1_711,1,1,1
GCF_001887415.1|NZ_CP013312.1|NZ_CP013312.1_712,1,1,1
GCF_001887415.1|NZ_CP013312.1|NZ_CP013312.1_716,4,1,4
GCF_001887515.1|NZ_CP013318.1|NZ_CP013318.1_312,3,1,3
GCF_001887515.1|NZ_CP013318.1|NZ_CP013318.1_411,1,1,1
GCF_001887615.1|NZ_CP013320.1|NZ_CP013320.1_263,6,2,6
GCF_001887615.1|NZ_CP013320.1|NZ_CP013320.1_269,2,1,2
GCF_001887615.1|NZ_CP013320.1|NZ_CP013320.1_322,1,1,1
GCF_001887615.1|NZ_CP013320.1|NZ_CP013320.1_415,375,70,467
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1757,9,1,9
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1762,12,3,12
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1763,11,2,11
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1769,9,1,9
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1771,11,1,11
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1772,13,2,22
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1773,10,1,10
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1774,13,3,13
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1775,9,1,9
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1776,9,1,9
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1850,10,2,10
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1853,14,3,15
GCF_002119505.2|NZ_CP017889.1|NZ_CP017889.1_1856,12,3,12
GCF_002214345.1|NZ_CP018309.1|NZ_CP018309.1_937,1,1,1
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1097,5,4,5
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1105,1,1,2
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1107,1,1,1
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1114,1,1,1
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1116,1,1,1
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1118,5,4,5
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1127,4,3,4
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1141,5,3,5
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1148,1,1,1
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1150,23,7,28
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1151,1,1,1
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1155,13,7,15
GCF_002214395.1|NZ_CP018312.1|NZ_CP018312.1_1162,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1361,3,2,3
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1366,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1368,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1369,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1370,17,7,17
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1371,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1377,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1386,5,1,5
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1392,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1394,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1403,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1411,14,4,15
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1417,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1423,7,4,8
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1429,2,1,2
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1431,1,1,1
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1432,2,2,2
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1438,6,5,6
GCF_002215135.1|NZ_CP014636.1|NZ_CP014636.1_1456,1,1,1
GCF_002216685.1|NZ_CP022353.1|NZ_CP022353.1_1548,1,1,1
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_85,2,2,3
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_96,1,1,1
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_97,1,1,1
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_104,1,1,1
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_113,5,2,5
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_122,4,3,6
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_128,15,11,16
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_129,4,3,4
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_139,7,4,8
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_147,3,3,3
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_152,3,2,3
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_155,1,1,1
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_163,1,1,1
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_168,1,1,1
GCF_002216685.1|NZ_CP022352.1|NZ_CP022352.1_169,1,1,1
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2545,4,3,4
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2547,4,3,4
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2548,12,5,13
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2550,3,3,3
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2551,4,3,6
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2552,6,3,20
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2558,5,5,5
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2561,3,2,3
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2589,3,3,3
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2591,5,4,5
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2710,3,3,3
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2712,3,3,3
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2713,11,6,13
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2715,16,6,20
GCF_002224265.1|NZ_CP012881.1|NZ_CP012881.1_2721,14,7,17
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_495,12,3,12
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_496,12,3,12
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_497,11,5,12
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_508,15,5,15
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_509,5,5,5
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_512,12,3,12
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_517,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_519,3,3,5
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_523,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_524,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_527,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_528,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_530,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_531,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_535,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_538,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_539,1,1,1
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_541,1,1,6
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_550,2,2,2
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_552,2,2,2
GCF_002257545.1|NZ_CP022742.1|NZ_CP022742.1_553,1,1,2
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_384,36,17,49
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_386,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_390,7,4,7
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_391,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_392,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_394,1,1,1
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_398,1,1,1
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_408,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_409,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_410,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_414,4,3,4
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_415,11,6,11
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_426,1,1,1
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_433,4,2,4
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_435,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_441,4,3,4
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_468,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_470,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_471,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_474,4,3,4
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_475,86,26,99
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_476,1,1,1
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_482,3,2,3
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_485,4,3,4
GCF_002287545.1|NZ_CP023055.1|NZ_CP023055.1_490,1,1,1
GCF_002313025.1|NZ_CP016988.1|NZ_CP016988.1_392,1,1,1
GCF_002313025.1|NZ_CP016988.1|NZ_CP016988.1_393,1,1,1
GCF_002313025.1|NZ_CP016988.1|NZ_CP016988.1_394,3,2,3
GCF_002313025.1|NZ_CP016988.1|NZ_CP016988.1_401,8,1,9
GCF_002313025.1|NZ_CP016988.1|NZ_CP016988.1_422,19,3,23
GCF_002356235.1|NZ_AP018045.1|NZ_AP018045.1_2303,6,1,6
GCF_002356235.1|NZ_AP018045.1|NZ_AP018045.1_2304,4,1,4
GCF_002356235.1|NZ_AP018045.1|NZ_AP018045.1_2305,4,1,4
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_558,1,1,1
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_560,6,5,6
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_561,1,1,1
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_960,7,5,9
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_963,1,1,1
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_964,1,1,1
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_1426,7,4,7
GCF_002796765.2|NZ_CP156746.1|NZ_CP156746.1_1427,1,1,1
GCF_002850295.1|NZ_CP025537.1|NZ_CP025537.1_2359,1,1,1
GCF_002850295.1|NZ_CP025538.1|NZ_CP025538.1_1014,11,1,11
GCF_002850295.1|NZ_CP025539.1|NZ_CP025539.1_100,7,7,7
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1805,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1806,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1821,3,3,3
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1822,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1831,1,1,1
GCF_002850455.1|NZ_CP019320.1|NZ_CP019320.1_1833,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1522,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1531,11,3,11
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1533,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1546,2,2,2
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1550,2,1,2
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1555,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1558,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1562,129,28,171
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1564,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1566,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1569,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1572,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1574,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1581,11,8,11
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1583,4,1,4
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1590,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1599,11,6,12
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1601,1,1,2
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1603,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1604,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1608,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1611,1,1,1
GCF_002863725.1|NZ_CP019121.1|NZ_CP019121.1_1614,12,7,17
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_499,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_503,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_504,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_505,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_509,3,3,3
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_510,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_511,1,1,1
GCF_002874615.2|NZ_CP170017.1|NZ_CP170017.1_512,1,1,1
GCF_002874615.2|NZ_CP170018.1|NZ_CP170018.1_1033,1,1,1
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_151,2,1,2
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_426,5,3,5
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_429,1,1,1
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_431,1,1,1
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_432,1,1,1
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_440,5,2,5
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_441,2,1,2
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_443,3,1,3
GCF_002874845.2|NZ_CP170009.1|NZ_CP170009.1_611,5,2,6
GCF_002874905.2|NZ_CP170007.1|NZ_CP170007.1_1682,1,1,1
GCF_002874905.2|NZ_CP170007.1|NZ_CP170007.1_1683,1,1,1
GCF_002874905.2|NZ_CP170007.1|NZ_CP170007.1_1684,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_1757,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_1758,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_1759,10,6,10
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_1760,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_1761,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_1762,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_1763,1,1,1
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_2042,4,2,4
GCF_002875015.2|NZ_CP170046.1|NZ_CP170046.1_2046,1,1,1
GCF_002887655.1|NZ_CP025796.1|NZ_CP025796.1_86,1,1,1
GCF_002887655.1|NZ_CP025796.1|NZ_CP025796.1_92,12,7,12
GCF_002887655.1|NZ_CP025796.1|NZ_CP025796.1_93,5,3,5
GCF_002887655.1|NZ_CP025796.1|NZ_CP025796.1_94,24,6,32
GCF_002887655.1|NZ_CP025796.1|NZ_CP025796.1_100,15,8,15
